coin,date_start,date_end,n_test,target,model,acc,f1
BTC,2023-01-01 00:00:00+00:00,2023-01-30 00:00:00+00:00,30,target_direction,LSTM,0.6666666666666666,0.8
BTC,2023-01-01 00:00:00+00:00,2023-01-30 00:00:00+00:00,30,target_direction,Transformer,0.7333333333333333,0.7894736842105263
BTC,2023-01-31 00:00:00+00:00,2023-03-01 00:00:00+00:00,30,target_direction,LSTM,0.36666666666666664,0.5365853658536586
BTC,2023-01-31 00:00:00+00:00,2023-03-01 00:00:00+00:00,30,target_direction,Transformer,0.5,0.4444444444444444
BTC,2023-03-02 00:00:00+00:00,2023-03-31 00:00:00+00:00,30,target_direction,LSTM,0.4666666666666667,0.6363636363636364
BTC,2023-03-02 00:00:00+00:00,2023-03-31 00:00:00+00:00,30,target_direction,Transformer,0.5666666666666667,0.5806451612903226
BTC,2023-04-01 00:00:00+00:00,2023-04-30 00:00:00+00:00,30,target_direction,LSTM,0.4666666666666667,0.6363636363636364
BTC,2023-04-01 00:00:00+00:00,2023-04-30 00:00:00+00:00,30,target_direction,Transformer,0.4,0.35714285714285715
BTC,2023-05-01 00:00:00+00:00,2023-05-30 00:00:00+00:00,30,target_direction,LSTM,0.6333333333333333,0.7027027027027027
BTC,2023-05-01 00:00:00+00:00,2023-05-30 00:00:00+00:00,30,target_direction,Transformer,0.5,0.5454545454545454
BTC,2023-05-31 00:00:00+00:00,2023-06-29 00:00:00+00:00,30,target_direction,LSTM,0.4666666666666667,0.5789473684210527
BTC,2023-05-31 00:00:00+00:00,2023-06-29 00:00:00+00:00,30,target_direction,Transformer,0.5333333333333333,0.631578947368421
BTC,2023-06-30 00:00:00+00:00,2023-07-29 00:00:00+00:00,30,target_direction,LSTM,0.5,0.6666666666666666
BTC,2023-06-30 00:00:00+00:00,2023-07-29 00:00:00+00:00,30,target_direction,Transformer,0.6666666666666666,0.7368421052631579
BTC,2023-07-30 00:00:00+00:00,2023-08-28 00:00:00+00:00,30,target_direction,LSTM,0.36666666666666664,0.5365853658536586
BTC,2023-07-30 00:00:00+00:00,2023-08-28 00:00:00+00:00,30,target_direction,Transformer,0.5666666666666667,0.5806451612903226
BTC,2023-08-29 00:00:00+00:00,2023-09-27 00:00:00+00:00,30,target_direction,LSTM,0.5,0.4827586206896552
BTC,2023-08-29 00:00:00+00:00,2023-09-27 00:00:00+00:00,30,target_direction,Transformer,0.43333333333333335,0.45161290322580644
BTC,2023-09-28 00:00:00+00:00,2023-10-27 00:00:00+00:00,30,target_direction,LSTM,0.5,0.6666666666666666
BTC,2023-09-28 00:00:00+00:00,2023-10-27 00:00:00+00:00,30,target_direction,Transformer,0.26666666666666666,0.35294117647058826
BTC,2023-10-28 00:00:00+00:00,2023-11-26 00:00:00+00:00,30,target_direction,LSTM,0.5666666666666667,0.7111111111111111
BTC,2023-10-28 00:00:00+00:00,2023-11-26 00:00:00+00:00,30,target_direction,Transformer,0.4666666666666667,0.5
BTC,2023-11-27 00:00:00+00:00,2023-12-26 00:00:00+00:00,30,target_direction,LSTM,0.43333333333333335,0.41379310344827586
BTC,2023-11-27 00:00:00+00:00,2023-12-26 00:00:00+00:00,30,target_direction,Transformer,0.5,0.4827586206896552
BTC,2023-12-27 00:00:00+00:00,2024-01-25 00:00:00+00:00,30,target_direction,LSTM,0.6333333333333333,0.6206896551724138
