,"(0, 1, 2)","(0, 2, 1)","(1, 0, 2)","(1, 2, 0)","(2, 0, 1)","(2, 1, 0)"
ADA,0.15625,0.17572463768115942,0.17255434782608695,0.1598731884057971,0.16304347826086957,0.17255434782608695
BNB,0.15806159420289856,0.16983695652173914,0.17028985507246377,0.1693840579710145,0.16847826086956522,0.16394927536231885
BTC,0.15715579710144928,0.16666666666666666,0.17119565217391305,0.1716485507246377,0.1671195652173913,0.16621376811594202
DOGE,0.16757246376811594,0.16530797101449277,0.17074275362318841,0.1693840579710145,0.16394927536231885,0.16304347826086957
ETH,0.15670289855072464,0.1716485507246377,0.16893115942028986,0.16530797101449277,0.16802536231884058,0.1693840579710145
LTC,0.1526268115942029,0.16802536231884058,0.17119565217391305,0.16847826086956522,0.16530797101449277,0.1743659420289855
SOL,0.15760869565217392,0.16530797101449277,0.16802536231884058,0.17028985507246377,0.1671195652173913,0.1716485507246377
XRP,0.15715579710144928,0.17798913043478262,0.16983695652173914,0.16077898550724637,0.16893115942028986,0.16530797101449277
