coin,date_start,date_end,n_test,target,model,acc,auc,f1
BTC,2022-01-06 00:00:00+00:00,2022-02-04 00:00:00+00:00,30,target_direction,Naive_Majority,0.5666666666666667,0.5,0.723404255319149
BTC,2022-01-06 00:00:00+00:00,2022-02-04 00:00:00+00:00,30,target_direction,Random_Walk,0.5,0.19909502262443438,0.5945945945945946
BTC,2022-01-06 00:00:00+00:00,2022-02-04 00:00:00+00:00,30,target_direction,GARCH11_directional,0.5666666666666667,0.0,0.723404255319149
BTC,2022-02-05 00:00:00+00:00,2022-03-06 00:00:00+00:00,30,target_direction,Naive_Persistence,0.5,0.24434389140271492,0.4444444444444444
BTC,2022-02-05 00:00:00+00:00,2022-03-06 00:00:00+00:00,30,target_direction,Naive_Majority,0.43333333333333335,0.5,0.6046511627906976
BTC,2022-02-05 00:00:00+00:00,2022-03-06 00:00:00+00:00,30,target_direction,Random_Walk,0.5,0.11764705882352941,0.21052631578947367
BTC,2022-02-05 00:00:00+00:00,2022-03-06 00:00:00+00:00,30,target_direction,GARCH11_directional,0.43333333333333335,0.0,0.6046511627906976
BTC,2022-03-07 00:00:00+00:00,2022-04-05 00:00:00+00:00,30,target_direction,Naive_Persistence,0.4666666666666667,0.18518518518518517,0.5555555555555556
BTC,2022-03-07 00:00:00+00:00,2022-04-05 00:00:00+00:00,30,target_direction,Naive_Majority,0.6,0.5,0.75
BTC,2022-03-07 00:00:00+00:00,2022-04-05 00:00:00+00:00,30,target_direction,Random_Walk,0.7,0.4537037037037037,0.7567567567567568
BTC,2022-03-07 00:00:00+00:00,2022-04-05 00:00:00+00:00,30,target_direction,GARCH11_directional,0.6,0.0,0.75
BTC,2022-04-06 00:00:00+00:00,2022-05-05 00:00:00+00:00,30,target_direction,Naive_Persistence,0.4,0.15625,0.35714285714285715
BTC,2022-04-06 00:00:00+00:00,2022-05-05 00:00:00+00:00,30,target_direction,Naive_Majority,0.4666666666666667,0.5,0.6363636363636364
BTC,2022-04-06 00:00:00+00:00,2022-05-05 00:00:00+00:00,30,target_direction,Random_Walk,0.5,0.22321428571428573,0.5714285714285714
