coin,date,PE,NE,spectral_gap,spectral_radius,second_eigenvalue,mixing_rate
ADA,2020-10-07 00:00:00+00:00,0.9795472826849085,0.9805904265656648,0.4683412362969497,1.0000000000000013,0.5316587637030517,0.5316587637030517
ADA,2020-11-06 00:00:00+00:00,0.9913138870784494,0.9925949840634491,0.4968135838219859,1.0000000000000004,0.5031864161780145,0.5031864161780145
ADA,2020-12-06 00:00:00+00:00,0.9984380878663307,0.9985472363546072,0.4882599320830169,0.9999999999999996,0.5117400679169827,0.5117400679169827
ADA,2021-01-05 00:00:00+00:00,0.998745388422157,0.9990191782952879,0.5266490877833502,1.0000000000000027,0.4733509122166525,0.4733509122166525
ADA,2021-02-04 00:00:00+00:00,0.9987743871025572,0.9991668453627794,0.5314053137014281,1.0000000000000029,0.46859468629857476,0.46859468629857476
ADA,2021-03-06 00:00:00+00:00,0.9981358716972003,0.9976955699697669,0.5449217217811928,1.0000000000000022,0.4550782782188095,0.4550782782188095
ADA,2021-04-05 00:00:00+00:00,0.9982884650914456,0.9981669038969317,0.5810346080850968,1.0000000000000002,0.4189653919149034,0.4189653919149034
ADA,2021-05-05 00:00:00+00:00,0.9990556185383823,0.9991793776251137,0.5777677784894614,1.0,0.42223222151053863,0.42223222151053863
ADA,2021-06-04 00:00:00+00:00,0.9960849206055782,0.9962399956779625,0.6019667675781885,1.0000000000000007,0.3980332324218122,0.3980332324218122
ADA,2021-07-04 00:00:00+00:00,0.9977146858336864,0.9980937084025993,0.536993233695237,1.0000000000000004,0.4630067663047635,0.4630067663047635
ADA,2021-08-03 00:00:00+00:00,0.9975003945217884,0.9975971852301841,0.5323553110534465,1.000000000000002,0.4676446889465555,0.4676446889465555
ADA,2021-09-02 00:00:00+00:00,0.9981358716972003,0.9979314342405586,0.506880753803501,0.9999999999999984,0.49311924619649744,0.49311924619649744
ADA,2021-10-02 00:00:00+00:00,0.9985922030586726,0.9983838027070145,0.4491392947789,1.0000000000000029,0.5508607052211029,0.5508607052211029
ADA,2021-11-01 00:00:00+00:00,0.9967873379049172,0.9968199518039871,0.44086708130618657,1.0000000000000007,0.5591329186938141,0.5591329186938141
ADA,2021-12-01 00:00:00+00:00,0.997876630073759,0.9979837671237434,0.43521454034222384,1.0000000000000004,0.5647854596577766,0.5647854596577766
ADA,2021-12-31 00:00:00+00:00,0.9994063669049674,0.9996008293135951,0.4361140999631904,0.9999999999999993,0.5638859000368089,0.5638859000368089
ADA,2022-01-30 00:00:00+00:00,0.9948236619466184,0.9952243537229636,0.38557137182073176,1.0,0.6144286281792682,0.6144286281792682
ADA,2022-03-01 00:00:00+00:00,0.9863212498189763,0.986815186236635,0.3595384379882872,1.0000000000000009,0.6404615620117137,0.6404615620117137
ADA,2022-03-31 00:00:00+00:00,0.9891409138635114,0.9889385759686202,0.4001549826562554,1.0000000000000007,0.5998450173437453,0.5998450173437453
ADA,2022-04-30 00:00:00+00:00,0.9962965929198809,0.9964029953436767,0.37248979056260745,0.9999999999999996,0.6275102094373921,0.6275102094373921
ADA,2022-05-30 00:00:00+00:00,0.9948350602773365,0.9952451765869595,0.4135757404717211,1.0,0.5864242595282789,0.5864242595282789
ADA,2022-06-29 00:00:00+00:00,0.9990855514342912,0.9986934531861863,0.4780770438378932,0.9999999999999996,0.5219229561621064,0.5219229561621064
ADA,2022-07-29 00:00:00+00:00,0.9947480493936577,0.9944764559106019,0.47485532121892293,0.9999999999999989,0.525144678781076,0.525144678781076
ADA,2022-08-28 00:00:00+00:00,0.9891085762892691,0.989234291181416,0.4972968397088646,1.0,0.5027031602911354,0.5027031602911354
ADA,2022-09-27 00:00:00+00:00,0.9759924582287409,0.9767924030979424,0.5388950763259506,1.0000000000000009,0.46110492367405037,0.46110492367405037
ADA,2022-10-27 00:00:00+00:00,0.9899280010780208,0.9899671806725656,0.6049137803965341,1.000000000000001,0.395086219603467,0.395086219603467
ADA,2022-11-26 00:00:00+00:00,0.9898860188678438,0.9895665627989129,0.48811969698452484,1.0000000000000002,0.5118803030154754,0.5118803030154754
ADA,2022-12-26 00:00:00+00:00,0.992607113390217,0.9929354487910524,0.4416032507042691,0.9999999999999998,0.5583967492957307,0.5583967492957307
ADA,2023-01-25 00:00:00+00:00,0.9932074589655059,0.9923632448975638,0.43625522290556196,0.9999999999999987,0.5637447770944367,0.5637447770944367
ADA,2023-02-24 00:00:00+00:00,0.9912235458069052,0.9920045696560533,0.40939336173152996,0.9999999999999998,0.5906066382684698,0.5906066382684698
ADA,2023-03-26 00:00:00+00:00,0.9964529710531539,0.9964088686491821,0.4034358073028462,0.9999999999999982,0.596564192697152,0.596564192697152
ADA,2023-04-25 00:00:00+00:00,0.9960907409225852,0.9965435219602318,0.4244936190499392,1.0000000000000002,0.575506380950061,0.575506380950061
ADA,2023-05-25 00:00:00+00:00,0.9939398091028039,0.9940577271193067,0.4916622704134911,1.0000000000000004,0.5083377295865094,0.5083377295865094
ADA,2023-06-24 00:00:00+00:00,0.9970520668486098,0.9971273221587141,0.5043722830258799,1.0000000000000018,0.49562771697412183,0.49562771697412183
ADA,2023-07-24 00:00:00+00:00,0.9932312799066513,0.993855428099183,0.5038594469170785,1.0000000000000004,0.49614055308292193,0.49614055308292193
ADA,2023-08-23 00:00:00+00:00,0.9913733117144069,0.9917599756985068,0.5467977708255364,0.9999999999999991,0.45320222917446273,0.45320222917446273
