coin,Best_Acc_Ordinal,Best_AUC_Ordinal,Best_F1_Ordinal,ARIMA_Acc,PE,NE,spectral_gap,perm_p_value,significant_5pct,DM_vs_ARIMA,DM_pval,DM_sig,sharpe_strategy,sharpe_buyhold,max_drawdown_strategy
ADA,0.5003,0.516,0.4804,0.4769,0.99946,0.99947,0.51918,0.414,False,-0.553,0.5806,False,-0.44342977754249135,-0.41708473274158225,-0.9201131111364131
BNB,0.5042,0.509,0.6204,0.521,0.99981,0.99979,0.50544,0.0,True,1.111,0.2665,False,0.26548108617140415,0.2789395874424954,-0.5377798194265951
BTC,0.4831,0.4938,0.542,0.4946,0.99977,0.99978,0.53406,0.0,True,0.57,0.5689,False,0.12913782807546106,0.30407383768731394,-0.5950872777203775
DOGE,0.5036,0.4956,0.4488,0.5226,0.99992,0.99992,0.51362,0.0,True,1.315,0.1886,False,-0.32251407366336404,-0.24704345124649124,-0.8989550089283913
ETH,0.5017,0.5047,0.5899,0.5177,0.99976,0.99977,0.49098,0.0,True,1.484,0.1378,False,0.2976818053061989,0.012856355602929387,-0.5580730902658345
LTC,0.5167,0.5189,0.5953,0.5199,0.99952,0.99952,0.49459,0.0,True,0.321,0.7484,False,-0.14373305186287183,-0.1865699603516267,-0.7523496059132027
SOL,0.5236,0.5312,0.5379,0.4952,0.99979,0.99979,0.5216,0.529,False,-0.789,0.4298,False,0.2555433637419044,0.21388081416811386,-0.8766171276644258
XRP,0.5142,0.5138,0.607,0.5247,0.99955,0.99955,0.52172,0.0,True,1.244,0.2133,False,0.15149548107033584,-0.04413674935588992,-0.7130258475636702
