coin,PE,NE,n_forbidden_patterns,n_patterns_total,spectral_gap,spectral_radius,second_eigenvalue,mixing_rate,max_pagerank,mean_pagerank,std_pagerank,max_degree,mean_degree,max_betweenness,mean_betweenness,density
ADA,0.99946,0.99947,0,6,0.51918,1.0,0.48082,0.48082,0.1743,0.16667,0.00582,2.0562,2.0,0.2,0.125,0.6
BNB,0.99981,0.99979,0,6,0.50544,1.0,0.49456,0.49456,0.16992,0.16667,0.00391,2.03408,2.0,0.2,0.14167,0.6
BTC,0.99977,0.99978,0,6,0.53406,1.0,0.46594,0.46594,0.1712,0.16667,0.00404,2.05164,2.0,0.2,0.14167,0.6
DOGE,0.99992,0.99992,0,6,0.51362,1.0,0.48638,0.48638,0.17031,0.16667,0.00241,2.0343,2.0,0.2,0.15,0.6
ETH,0.99976,0.99977,0,6,0.49098,1.0,0.50902,0.50902,0.17098,0.16667,0.00401,2.03795,2.0,0.25,0.11667,0.6
LTC,0.99952,0.99952,0,6,0.49459,1.0,0.50541,0.50541,0.17275,0.16667,0.00565,2.05016,2.0,0.2,0.15,0.6
SOL,0.99979,0.99979,0,6,0.5216,1.0,0.4784,0.4784,0.17091,0.16667,0.00392,2.04755,2.0,0.2,0.11667,0.6
XRP,0.99955,0.99955,0,6,0.52172,1.0,0.47828,0.47828,0.17631,0.16667,0.00565,2.06841,2.0,0.2,0.125,0.6
