coin,best_model,acc_best_ordinal,acc_ARIMA,acc_GARCH11,acc_Naive_Majority,acc_Naive_Persistence,acc_Random_Walk,DM_vs_ARIMA,DM_pval,DM_sig,sharpe_strategy,sharpe_buyhold,max_drawdown_strategy
ADA,RF_ordinal,0.5002777777777777,0.4489247311827957,0.49234972677595623,0.4989071038251366,0.494535519125683,0.5120218579234972,-0.553,0.5806,False,-0.4434297775424913,-0.4170847327415822,-0.9201131111364133
BNB,MLP_ordinal,0.5041666666666667,0.5123655913978494,0.5174863387978142,0.5174863387978142,0.46939890710382515,0.5087431693989071,1.111,0.2665,False,0.2654810861714041,0.2789395874424954,-0.5377798194265951
BTC,MLP_ordinal,0.4830555555555555,0.4860215053763441,0.49398907103825135,0.49398907103825135,0.47267759562841527,0.5027322404371585,0.57,0.5689,False,0.129137828075461,0.3040738376873139,-0.5950872777203775
DOGE,RF_ordinal,0.5036111111111111,0.46881720430107526,0.49234972677595623,0.5131147540983606,0.46939890710382515,0.5120218579234973,1.315,0.1886,False,-0.322514073663364,-0.2470434512464912,-0.8989550089283913
ETH,RF_ordinal,0.5016666666666666,0.5233870967741935,0.507103825136612,0.507103825136612,0.47267759562841527,0.5016393442622951,1.484,0.1378,False,0.2976818053061989,0.0128563556029293,-0.5580730902658345
LTC,GBM_ordinal,0.5166666666666667,0.4967741935483871,0.5065573770491804,0.5043715846994535,0.47486338797814204,0.494535519125683,0.321,0.7484,False,-0.1437330518628718,-0.1865699603516267,-0.7523496059132027
SOL,RF_ordinal,0.523611111111111,0.47150537634408596,0.49508196721311476,0.4786885245901639,0.4961748633879781,0.5092896174863388,-0.789,0.4298,False,0.2555433637419044,0.2138808141681138,-0.8766171276644258
XRP,LogReg_ordinal,0.5141666666666667,0.4712365591397849,0.5049180327868852,0.4918032786885246,0.4551912568306011,0.5191256830601092,1.244,0.2133,False,0.1514954810703358,-0.0441367493558899,-0.7130258475636702
