coin,d,tau,mean_PE,std_PE,cv_PE,n_patterns,score
ADA,3,5,0.9961372091108048,0.0024617942669943145,0.0024713405387088664,6,79.87410864284946
BNB,3,5,0.9966265553711331,0.002316809645763088,0.0023246517296521443,6,80.86448016809496
BTC,3,2,0.9971916889432821,0.001832642631888754,0.0018378037564963626,6,84.23789661118873
DOGE,3,1,0.9975167142823022,0.0015432253684072004,0.0015470671782336803,6,86.38701922187043
ETH,3,1,0.9971036576125982,0.0015750783865649757,0.0015796536042548112,6,86.10824569451921
LTC,3,3,0.9963730970418704,0.002667376432829161,0.0026770859638278583,6,78.59638247187641
SOL,3,1,0.9971155776882153,0.0020418346148120907,0.002047741165115462,6,82.76369520415899
XRP,3,2,0.9968821382654881,0.0018088224360039674,0.0018144797329295013,6,84.37799723731911
