date_start,date_end,n_test,target,model,acc,auc,f1,coin
2022-02-07 00:00:00+00:00,2022-03-08 00:00:00+00:00,30,target_direction,MLP_ordinal,0.5333333333333333,0.63,0.3,ADA
2022-03-09 00:00:00+00:00,2022-04-07 00:00:00+00:00,30,target_direction,LogReg_ordinal,0.36666666666666664,0.3571428571428571,0.17391304347826086,ADA
2022-03-09 00:00:00+00:00,2022-04-07 00:00:00+00:00,30,target_direction,RF_ordinal,0.36666666666666664,0.34821428571428575,0.17391304347826086,ADA
2022-03-09 00:00:00+00:00,2022-04-07 00:00:00+00:00,30,target_direction,GBM_ordinal,0.36666666666666664,0.3392857142857143,0.24,ADA
2022-03-09 00:00:00+00:00,2022-04-07 00:00:00+00:00,30,target_direction,MLP_ordinal,0.4,0.3973214285714286,0.3076923076923077,ADA
2022-04-08 00:00:00+00:00,2022-05-07 00:00:00+00:00,30,target_direction,LogReg_ordinal,0.5666666666666667,0.6267942583732058,0.5185185185185185,ADA
2022-04-08 00:00:00+00:00,2022-05-07 00:00:00+00:00,30,target_direction,RF_ordinal,0.5333333333333333,0.6076555023923446,0.36363636363636365,ADA
2022-04-08 00:00:00+00:00,2022-05-07 00:00:00+00:00,30,target_direction,GBM_ordinal,0.5333333333333333,0.4880382775119617,0.36363636363636365,ADA
2022-04-08 00:00:00+00:00,2022-05-07 00:00:00+00:00,30,target_direction,MLP_ordinal,0.4666666666666667,0.368421052631579,0.5555555555555556,ADA
2022-05-08 00:00:00+00:00,2022-06-06 00:00:00+00:00,30,target_direction,LogReg_ordinal,0.4,0.5694444444444444,0.0,ADA
2022-05-08 00:00:00+00:00,2022-06-06 00:00:00+00:00,30,target_direction,RF_ordinal,0.4666666666666667,0.4629629629629629,0.38461538461538464,ADA
2022-05-08 00:00:00+00:00,2022-06-06 00:00:00+00:00,30,target_direction,GBM_ordinal,0.43333333333333335,0.5555555555555556,0.32,ADA
2022-05-08 00:00:00+00:00,2022-06-06 00:00:00+00:00,30,target_direction,MLP_ordinal,0.5,0.6018518518518517,0.5945945945945946,ADA
2022-06-07 00:00:00+00:00,2022-07-06 00:00:00+00:00,30,target_direction,LogReg_ordinal,0.4666666666666667,0.5669642857142857,0.5294117647058824,ADA
2022-06-07 00:00:00+00:00,2022-07-06 00:00:00+00:00,30,target_direction,RF_ordinal,0.4,0.3883928571428571,0.5,ADA
2022-06-07 00:00:00+00:00,2022-07-06 00:00:00+00:00,30,target_direction,GBM_ordinal,0.4,0.4330357142857143,0.4,ADA
