date,ADA,BNB,BTC,DOGE,ETH,LTC,SOL,XRP
2020-10-07 00:00:00+00:00,0.9795472826849085,0.9921324815487312,0.9910547119491971,0.9955509396620814,0.9897331820035818,0.9924659731295356,0.9990556185383823,0.9771065860568668
2020-11-06 00:00:00+00:00,0.9913138870784494,0.9981555195317731,0.9878817907336909,0.9901007538460638,0.9916675000386073,0.9971967000085097,0.9997202030637407,0.9776779078253409
2020-12-06 00:00:00+00:00,0.9984380878663307,0.9987743871025572,0.991054711949197,0.9912235458069052,0.9947480493936578,0.9990556185383823,0.9978192202955464,0.9853517575286426
2021-01-05 00:00:00+00:00,0.998745388422157,0.9932202518862477,0.9957776200497517,0.9918739525293766,0.9974779072876986,0.9987743871025572,0.9992982264005594,0.9906514203706008
2021-02-04 00:00:00+00:00,0.9987743871025572,0.9976709344193939,0.9991862221202438,0.9931025547461719,0.9965100719580181,0.998547706714887,0.9997165970211928,0.9953369599118967
2021-03-06 00:00:00+00:00,0.9981358716972003,0.9945478440995541,0.9999292719874608,0.9945759198763681,0.9983335534044705,0.9987003435630806,0.9971470951213918,0.9953092946882206
2021-04-05 00:00:00+00:00,0.9982884650914456,0.9931719964714224,0.9988499228840172,0.997833669425905,0.9988723859614708,0.9974218344082185,0.997571413729155,0.9976135246411814
2021-05-05 00:00:00+00:00,0.9990556185383823,0.9900647852415221,0.9973570982606209,0.9945876312378527,0.9960271306140651,0.9951664200142911,0.9962538110017354,0.9974717743679756
2021-06-04 00:00:00+00:00,0.9960849206055782,0.9933897992266035,0.9964836433916386,0.997984770578167,0.9960832711041299,0.9995109013668276,0.9978336694259049,0.9987743871025572
2021-07-04 00:00:00+00:00,0.9977146858336864,0.9923800813714378,0.9960849206055782,0.9924831518361746,0.998568691448192,0.9985542423178335,0.9929460091934693,0.997876630073759
2021-08-03 00:00:00+00:00,0.9975003945217884,0.9919394544170358,0.9946677971879194,0.9991862221202439,0.9960918667616626,0.9982520400465383,0.9950098074183701,0.9995039220549246
2021-09-02 00:00:00+00:00,0.9981358716972003,0.9899994084449867,0.9955509396620813,0.9973012344703699,0.9928533626295144,0.9946481493533469,0.9974779072876985,0.9990780816158358
2021-10-02 00:00:00+00:00,0.9985922030586726,0.9873526154608936,0.9962538110017355,0.9960256522699168,0.9911017789602604,0.9976709344193939,0.9968828638497366,0.9987743871025572
2021-11-01 00:00:00+00:00,0.9967873379049172,0.9922772134016146,0.9952727133003826,0.9992982264005594,0.9901230580929627,0.9987743871025572,0.9966395726464783,0.9947180923411124
2021-12-01 00:00:00+00:00,0.997876630073759,0.9927285702293785,0.9971726909430946,0.9995109013668276,0.9947798014682352,0.9972450939803053,0.9990780816158358,0.9982114074786603
2021-12-31 00:00:00+00:00,0.9994063669049674,0.9956649004834967,0.9988499228840172,0.9994063669049675,0.9938566892638186,0.9938405426606451,0.9986442272296521,0.9985462283707387
