coin,d,tau,mean_PE,std_PE,cv_PE,n_patterns,score
ADA,3,1,0.9960056840136391,0.0027239176477266676,0.002734841468722614,6,78.211078360094
ADA,3,2,0.9965478591264945,0.0027909909027677457,0.0028006591727680157,6,77.85129231833152
ADA,3,3,0.9953717043570771,0.0025838219382037955,0.0025958362357408203,6,79.02386834251618
ADA,3,5,0.9961372091108048,0.0024617942669943145,0.0024713405387088664,6,79.87410864284946
ADA,4,1,0.9858485125268088,0.0040904279320553,0.00414914449844536,24,69.67548551328521
ADA,4,2,0.9882700520538903,0.0051014254810892124,0.005161975181259333,24,65.1808250732017
ADA,4,3,0.9862046372308448,0.003514224030550771,0.003563382180411122,24,72.7108197729006
ADA,4,5,0.9863801831546659,0.004353558166211772,0.00441367156453174,24,68.43365194902098
ADA,5,1,0.9466207705109192,0.006727155510296863,0.007106494722970121,120,55.336922370181625
ADA,5,2,0.9440799081092746,0.008502772405229638,0.009006411779538115,120,49.67165391658252
ADA,5,3,0.9401072244271279,0.0064286157767805335,0.006838172933615199,120,55.83190219826805
ADA,5,5,0.9393927185504712,0.007460822959098609,0.007942176697519097,120,52.356675245560545
ADA,6,1,0.8045494694755596,0.005189356475410711,0.00645001540898027,720,48.90873652533759
ADA,6,2,0.8028707003743778,0.0058035733917188494,0.0072285280668548755,720,46.601235883811896
ADA,6,3,0.7982035478904039,0.005055812849794527,0.0063339894481180305,720,48.867641945389614
ADA,6,5,0.7933811096019473,0.0045070477570263385,0.00568081052406443,720,50.595669680747136
BNB,3,1,0.9951340814233761,0.004082630220477621,0.004102593104472902,6,70.56390793177962
BNB,3,2,0.9953651028796111,0.0038293400042821637,0.00384717124721367,6,71.88219782288738
BNB,3,3,0.9966940723373072,0.003225242210599111,0.003235939994137308,6,75.30209964526738
BNB,3,5,0.9966265553711331,0.002316809645763088,0.0023246517296521443,6,80.86448016809496
BNB,4,1,0.9836787834690026,0.0055859917671163975,0.005678674645610818,24,62.739919393912515
BNB,4,2,0.9839932507785885,0.007780032669063422,0.00790659149633347,24,54.951454662941835
BNB,4,3,0.987353468144959,0.004379831618886556,0.004435930758526584,24,68.39555305859156
BNB,4,5,0.9857808659201003,0.006880868311591345,0.0069801195676099425,24,58.055001438299946
BNB,5,1,0.9432162453969588,0.008981612213672809,0.009522325614613768,120,48.314748151260126
BNB,5,2,0.943022765765749,0.010647821381137153,0.011291160476364182,120,44.291750410346154
BNB,5,3,0.9429540308268308,0.007369445804633132,0.007815275786204981,120,52.9295219531204
BNB,5,5,0.9390422472380306,0.009368667164899366,0.009976832450771085,120,47.00656370583838
BNB,6,1,0.8041315164617705,0.006018638490866841,0.007484644448885359,720,45.9907273958341
BNB,6,2,0.8012033867095957,0.006058559701546335,0.00756182487747616,720,45.62187542008664
BNB,6,3,0.7981375035355279,0.0058117094366855315,0.007281589213555293,720,46.184265444146
BNB,6,5,0.7928256905894256,0.005050442196957957,0.006370179797272765,720,48.431092413628136
BTC,3,1,0.9962390381983234,0.0023804477029136153,0.002389434273943143,6,80.41037356270293
BTC,3,2,0.9971916889432821,0.001832642631888754,0.0018378037564963626,6,84.23789661118873
BTC,3,3,0.9963293757718746,0.0037153719771207665,0.0037290599549357566,6,72.57083726360176
BTC,3,5,0.9955430589434883,0.004890718225957922,0.004912613454553381,6,66.75845665667084
BTC,4,1,0.9876731844954388,0.0040176568195837556,0.004067799837688356,24,70.20807773006635
BTC,4,2,0.9882381851330259,0.0030752701477415587,0.0031118714030712014,24,75.36972829839912
BTC,4,3,0.9875420061349262,0.0052398239845053134,0.0053059251676876,24,64.52024267175499
BTC,4,5,0.9874820607763128,0.004851228692207441,0.00491272589639625,24,66.21740838238996
BTC,5,1,0.9443108700564385,0.007076438636299989,0.007493759587739956,120,53.97987009711933
