date,mean_PE,std_PE
2020-05-11,0.9777644142991134,0.017195556760115246
2020-05-16,0.9775362358327603,0.01839644775289005
2020-05-21,0.976116370063348,0.026647391287737448
2020-05-26,0.9749479765783005,0.028562621389537034
2020-05-31,0.9741021614638672,0.029627997176971715
2020-06-05,0.9783708262807723,0.020256500242388873
2020-06-10,0.9756362368329821,0.0213938322661434
2020-06-15,0.9745823857883565,0.021950728610124887
2020-06-20,0.982071842809091,0.016858627008500528
2020-06-25,0.9850149458287916,0.01375891816376229
2020-06-30,0.9797045737306708,0.0190544449470467
2020-07-05,0.9804662224467794,0.018714038898425364
2020-07-10,0.9813993321712161,0.016169607782769962
2020-07-15,0.9855809252831695,0.008975936632168094
2020-07-20,0.9873681522811812,0.009956191215158632
2020-07-25,0.9847134481189527,0.012952699927925707
2020-07-30,0.9791392766680229,0.014433393196020465
2020-08-04,0.9766331817281869,0.01896953666229748
2020-08-09,0.975358000311747,0.01223870448127811
2020-08-14,0.9782858651124803,0.011446585857387677
2020-08-19,0.9790389249458668,0.009368004760305453
2020-08-24,0.9768220035107978,0.009286339950586874
2020-08-29,0.9731310224240426,0.008367506332154726
2020-09-03,0.9719057371794,0.010102186926463285
2020-09-08,0.9807155538455782,0.008923123151049707
2020-09-13,0.9832959903035356,0.008688444291620138
2020-09-18,0.9837313055253364,0.010953525949333114
2020-09-23,0.9881860433633716,0.008036957922294963
2020-09-28,0.9883424412143869,0.00894353024721463
2020-10-03,0.992917088500407,0.0054116545598843395
2020-10-08,0.992690925075338,0.003429549017529753
2020-10-13,0.9922776588642015,0.004875078909179905
2020-10-18,0.9876155512276836,0.008463234261126083
2020-10-23,0.9849134453339385,0.005784795153460925
2020-10-28,0.9829527268851859,0.007267548690441985
2020-11-02,0.9840050053993492,0.006293421589870793
2020-11-07,0.9857705159002002,0.00679229113776106
2020-11-12,0.9877022833784738,0.007045566406570375
2020-11-17,0.9876153262245039,0.007135780701179204
2020-11-22,0.9865456941048545,0.01066508187829451
2020-11-27,0.9852165054225618,0.014313734243539954
2020-12-02,0.9893238945966015,0.011091834692095423
2020-12-07,0.9885432221089725,0.010763990553532237
2020-12-12,0.9861431080545614,0.012425191538900818
2020-12-17,0.9857954669098121,0.00877855345949021
2020-12-22,0.9881847350228201,0.007279838278556787
2020-12-27,0.990271836012224,0.007328538396927623
2021-01-01,0.9882448174567015,0.00797370723752722
2021-01-06,0.9915094519964621,0.005663926599921619
2021-01-11,0.9901388264307446,0.0034266415877040922
2021-01-16,0.9901424757070171,0.006416709342382989
2021-01-21,0.9914398372151255,0.00694635492427774
2021-01-26,0.9884626115180961,0.006858213605111939
2021-01-31,0.9907540380390358,0.006310217498346679
2021-02-05,0.9916306160298367,0.005923757138573426
2021-02-10,0.9876368222833735,0.010454693795502103
2021-02-15,0.9822301933233252,0.013032854300217458
2021-02-20,0.9842112887050152,0.014551421362018022
2021-02-25,0.9862316643473517,0.013535453039359041
2021-03-02,0.9889210070176131,0.009246065463387567
2021-03-07,0.9905202363647749,0.005572039380307694
2021-03-12,0.9889156311083018,0.0058995712630041984
2021-03-17,0.9876345345470428,0.007819029405824915
2021-03-22,0.9858168291155651,0.009984524561428804
2021-03-27,0.9845092883279112,0.01137647532682638
2021-04-01,0.9800661500953056,0.01614489859403699
2021-04-06,0.9789082625058887,0.019583292902728883
2021-04-11,0.9821874119373298,0.01692132290552305
2021-04-16,0.986547381499168,0.010526494015467121
2021-04-21,0.9879580939000933,0.007552921562638267
2021-04-26,0.9801572392502783,0.009469945581849881
2021-05-01,0.9859376523414537,0.00789632743134311
2021-05-06,0.9865149303437948,0.007367168263125798
2021-05-11,0.9840813821018083,0.012428238790294106
2021-05-16,0.9804805453493712,0.015195466912026943
2021-05-21,0.9867214033354857,0.009488927776795681
2021-05-26,0.9836333023006028,0.013261258154272468
2021-05-31,0.9791126284895859,0.010991325015105498
2021-06-05,0.9778746594619271,0.010671011831485205
2021-06-10,0.9835761642695886,0.006863432046675583
2021-06-15,0.9860772755822594,0.005364690840892881
2021-06-20,0.9848969819937955,0.008946857713009357
2021-06-25,0.9808489333700137,0.01227553761193674
2021-06-30,0.9846125673671408,0.00938782201266146
2021-07-05,0.988065899689232,0.008162773884022732
2021-07-10,0.9918567412433579,0.0072572600879447875
2021-07-15,0.9914013393807545,0.005465724668368246
