date_start,date_end,n_test,model,target,acc,auc,f1,coin
2023-12-27 00:00:00+00:00,2024-01-25 00:00:00+00:00,30,"ARIMA(1,0,1)",target_direction,0.4666666666666667,0.5598086124401913,0.5555555555555556,ADA
2024-01-26 00:00:00+00:00,2024-02-24 00:00:00+00:00,30,"ARIMA(1,0,1)",target_direction,0.6,0.5119617224880383,0.7272727272727273,ADA
2024-02-25 00:00:00+00:00,2024-03-25 00:00:00+00:00,30,"ARIMA(1,0,1)",target_direction,0.5666666666666667,0.5452488687782806,0.6486486486486487,ADA
2024-03-26 00:00:00+00:00,2024-04-24 00:00:00+00:00,30,"ARIMA(1,0,1)",target_direction,0.5333333333333333,0.579185520361991,0.631578947368421,ADA
2024-04-25 00:00:00+00:00,2024-05-24 00:00:00+00:00,30,"ARIMA(1,0,1)",target_direction,0.3,0.39999999999999997,0.4,ADA
2024-05-25 00:00:00+00:00,2024-06-23 00:00:00+00:00,30,"ARIMA(1,0,1)",target_direction,0.4666666666666667,0.5555555555555556,0.6,ADA
2024-06-24 00:00:00+00:00,2024-07-23 00:00:00+00:00,30,"ARIMA(1,0,1)",target_direction,0.6,0.6000000000000001,0.6666666666666666,ADA
2024-07-24 00:00:00+00:00,2024-08-22 00:00:00+00:00,30,"ARIMA(1,0,1)",target_direction,0.43333333333333335,0.4508928571428572,0.5405405405405406,ADA
2024-08-23 00:00:00+00:00,2024-09-21 00:00:00+00:00,30,"ARIMA(1,0,1)",target_direction,0.4,0.36199095022624433,0.55,ADA
2024-09-22 00:00:00+00:00,2024-10-21 00:00:00+00:00,30,"ARIMA(1,0,1)",target_direction,0.43333333333333335,0.4508928571428572,0.5405405405405406,ADA
2024-10-22 00:00:00+00:00,2024-11-20 00:00:00+00:00,30,"ARIMA(1,0,1)",target_direction,0.43333333333333335,0.39952153110047844,0.5405405405405406,ADA
2024-11-21 00:00:00+00:00,2024-12-20 00:00:00+00:00,30,"ARIMA(1,0,1)",target_direction,0.43333333333333335,0.4151785714285715,0.5641025641025641,ADA
2024-12-21 00:00:00+00:00,2025-01-19 00:00:00+00:00,30,"ARIMA(1,0,1)",target_direction,0.43333333333333335,0.4151785714285715,0.5641025641025641,ADA
2025-01-20 00:00:00+00:00,2025-02-18 00:00:00+00:00,30,"ARIMA(1,0,1)",target_direction,0.43333333333333335,0.5,0.5405405405405406,ADA
2025-02-19 00:00:00+00:00,2025-03-20 00:00:00+00:00,30,"ARIMA(1,0,1)",target_direction,0.43333333333333335,0.44642857142857145,0.5142857142857142,ADA
2025-03-21 00:00:00+00:00,2025-04-19 00:00:00+00:00,30,"ARIMA(1,0,1)",target_direction,0.5333333333333333,0.5089285714285715,0.6666666666666666,ADA
2025-04-20 00:00:00+00:00,2025-05-19 00:00:00+00:00,30,"ARIMA(1,0,1)",target_direction,0.5,0.5178571428571428,0.5945945945945946,ADA
2025-05-20 00:00:00+00:00,2025-06-18 00:00:00+00:00,30,"ARIMA(1,0,1)",target_direction,0.3333333333333333,0.4027777777777778,0.47368421052631576,ADA
2025-06-19 00:00:00+00:00,2025-07-18 00:00:00+00:00,30,"ARIMA(1,0,1)",target_direction,0.5,0.4592760180995475,0.6341463414634146,ADA
